Марлон Брандо
Одри Хепберн
Шон Коннери
Элизабет Тейлор
Пол Ньюман
София Лорен
Кэри Грант
Кэтрин Хепберн
Клинт Иствуд
Джули Эндрюс
Джеймс Стюарт
Бетт Дэвис
Джек Леммон
Ширли МакЛейн
Ричард Бёртон
Стив МакКуин
Дорис Дэй
Грегори Пек
Натали Вуд
Питер Селлерс
Рок Хадсон
Рекс Харрисон
Джоан Кроуфорд
Дастин Хоффман
Тони Кёртис
Барбара Стрейзанд
Орсон Уэллс
Урсула Андресс
Питер О’Тул
Мэрилин Монро
Элек Гиннесс
Ингрид Бергман
Генри Фонда
Джуди Гарленд
Уильям Холден
Джанет Ли
Дирк Богард
Энн Бэнкрофт
Роберт Митчум
Дебби Рейнольдс
Джули Кристи
Чарлтон Хестон
Ричард Харрис
Натали Вуд
Роберт Редфорд
Кирк Дуглас
Джейн Фонда
Омар Шариф
