1	Лауренц Тирард	\N	\N	\N	\N	2024-04-12 23:55:17.327989	\N
2	Иван Охлобыстин	\N	\N	\N	\N	2024-04-12 23:55:17.361787	\N
3	Стивен Фрай	\N	\N	\N	\N	2024-04-12 23:55:17.394201	\N
4	Кирсти Элли	\N	\N	\N	\N	2024-04-12 23:55:17.426945	\N
5	Наталья Портман	\N	\N	\N	\N	2024-04-12 23:55:17.458567	\N
6	Риз Ахмед	\N	\N	\N	\N	2024-04-12 23:55:17.490481	\N
7	Джозеф Файнс	\N	\N	\N	\N	2024-04-12 23:55:17.522858	\N
8	Джон Малкович	\N	\N	\N	\N	2024-04-12 23:55:17.55606	\N
9	Тереза Палмер	\N	\N	\N	\N	2024-04-12 23:55:17.587017	\N
10	Юрий Никулин	\N	\N	\N	\N	2024-04-12 23:55:17.619242	\N
11	Виктория Толстоганова	\N	\N	\N	\N	2024-04-12 23:55:17.650217	\N
12	Райан Гослинг	\N	\N	\N	\N	2024-04-12 23:55:17.681635	\N
13	Олег Табаков	\N	\N	\N	\N	2024-04-12 23:55:17.713503	\N
14	Дэниел Дэй-Льюис	\N	\N	\N	\N	2024-04-12 23:55:17.745503	\N
15	Дженнифер Тилли	\N	\N	\N	\N	2024-04-12 23:55:17.776414	\N
16	Кира Седжвик	\N	\N	\N	\N	2024-04-12 23:55:17.807638	\N
17	Владимир Епифанцев	\N	\N	\N	\N	2024-04-12 23:55:17.841984	\N
18	Сергей Маковецкий	\N	\N	\N	\N	2024-04-12 23:55:17.874237	\N
19	Илькер Калычайджи	\N	\N	\N	\N	2024-04-12 23:55:17.906227	\N
20	Эван Рэйчел Вуд	\N	\N	\N	\N	2024-04-12 23:55:17.939679	\N
21	Колин Фаррелл	\N	\N	\N	\N	2024-04-12 23:55:17.97093	\N
22	Джина Карано	\N	\N	\N	\N	2024-04-12 23:55:18.002319	\N
23	Рене Зеллвегер	\N	\N	\N	\N	2024-04-12 23:55:18.03173	\N
24	Зендая	\N	\N	\N	\N	2024-04-12 23:55:18.063385	\N
25	Кейт Бланшетт	\N	\N	\N	\N	2024-04-12 23:55:18.095153	\N
26	Крис Эванс	\N	\N	\N	\N	2024-04-12 23:55:18.125948	\N
27	Екатерина Редникова	\N	\N	\N	\N	2024-04-12 23:55:18.156655	\N
28	Брюс Ли	\N	\N	\N	\N	2024-04-12 23:55:18.187317	\N
29	Алексей Булдаков	\N	\N	\N	\N	2024-04-12 23:55:18.218215	\N
30	Госха Куценко	\N	\N	\N	\N	2024-04-12 23:55:18.251861	\N
31	Элисон Дойл	\N	\N	\N	\N	2024-04-12 23:55:18.281544	\N
32	Максим Аверин	\N	\N	\N	\N	2024-04-12 23:55:18.311915	\N
33	Вэйлет Дэвис	\N	\N	\N	\N	2024-04-12 23:55:18.343753	\N
34	Кит Харингтон	\N	\N	\N	\N	2024-04-12 23:55:18.374968	\N
35	Флоренс Пью	\N	\N	\N	\N	2024-04-12 23:55:18.405755	\N
36	Эмили Блант	\N	\N	\N	\N	2024-04-12 23:55:18.437447	\N
37	Киану Ривз	\N	\N	\N	\N	2024-04-12 23:55:18.467099	\N
38	Кевин Бейкон	\N	\N	\N	\N	2024-04-12 23:55:18.499321	\N
39	Наоми Харрис	\N	\N	\N	\N	2024-04-12 23:55:18.530183	\N
40	Исра Гюрен	\N	\N	\N	\N	2024-04-12 23:55:18.563604	\N
41	Александра Даддарио	\N	\N	\N	\N	2024-04-12 23:55:18.596453	\N
42	Тайка Вайтити	\N	\N	\N	\N	2024-04-12 23:55:18.628278	\N
43	Лев Лещенко	\N	\N	\N	\N	2024-04-12 23:55:18.659632	\N
44	Доминик Фишбек	\N	\N	\N	\N	2024-04-12 23:55:18.689841	\N
45	Мария Шукшина	\N	\N	\N	\N	2024-04-12 23:55:18.722092	\N
46	Хилари Дафф	\N	\N	\N	\N	2024-04-12 23:55:18.753839	\N
47	Шерон Стоун	\N	\N	\N	\N	2024-04-12 23:55:18.786313	\N
48	Джейн Леви	\N	\N	\N	\N	2024-04-12 23:55:18.818329	\N
49	Шелли Лонг	\N	\N	\N	\N	2024-04-12 23:55:18.848981	\N
50	Ричард Жер	\N	\N	\N	\N	2024-04-12 23:55:18.878758	\N
