1	США	2024-04-13 19:52:19.260107	\N
2	Канада	2024-04-13 19:52:19.279907	\N
3	Австралия	2024-04-13 20:19:08.614388	\N
4	Новая Зеландия	2024-04-13 20:19:32.727686	\N
5	Германия	2024-04-13 20:19:41.854503	\N
6	Великобритания	2024-04-13 20:19:43.050802	\N
7	Швейцария	2024-04-13 20:20:03.983383	\N
8	Франция	2024-04-13 20:20:29.312295	\N
9	Италия	2024-04-13 20:20:29.352968	\N
10	Швеция	2024-04-13 21:24:53.809181	\N
11	Дания	2024-04-13 21:24:53.840921	\N
12	Испания	2024-04-13 21:26:29.533765	\N
13	Германия (ФРГ)	2024-04-13 21:26:29.565276	\N
14	Польша	2024-04-13 21:28:11.485217	\N
15	Япония	2024-04-13 21:31:52.759387	\N
16	Гонконг	2024-04-13 21:34:43.225721	\N
17	Китай	2024-04-13 21:34:43.259892	\N
18	Тайвань	2024-04-13 21:34:43.283787	\N
19	Мексика	2024-04-13 21:41:24.995837	\N
20	Финляндия	2024-04-13 21:41:51.99854	\N
21	Индия	2024-04-13 21:42:45.15171	\N
22	Босния и Герцеговина	2024-04-13 21:46:07.377862	\N
23	Бельгия	2024-04-13 21:46:07.40982	\N
24	Словения	2024-04-13 21:46:07.433158	\N
25	Аргентина	2024-04-13 21:47:01.33294	\N
26	Бразилия	2024-04-13 21:50:05.656276	\N
27	Мальта	2024-04-13 22:01:57.083233	\N
28	Марокко	2024-04-13 22:01:57.106589	\N
29	ЮАР	2024-04-13 22:13:22.855772	\N
30	Чехия	2024-04-13 22:56:39.186544	\N
31	Ирландия	2024-04-13 23:08:33.844437	\N
32	Норвегия	2024-04-13 23:09:56.921532	\N
33	Нидерланды	2024-04-13 23:09:56.955691	\N
34	Исландия	2024-04-13 23:09:56.992542	\N
35	Люксембург	2024-04-13 23:13:30.114856	\N
36	Австрия	2024-04-13 23:30:58.579109	\N
37	Вьетнам	2024-04-13 23:34:48.209376	\N
38	Россия	2024-04-14 09:21:54.361553	\N
39	Венгрия	2024-04-14 09:21:54.39381	\N
40	Югославия	2024-04-14 09:56:49.389458	\N
