1	Зак Пенн	\N	\N	\N	2024-04-13 19:52:19.524156	\N
2	Дэвид Хэйтер	\N	\N	\N	2024-04-13 19:52:19.545416	\N
3	Брайан Сингер	\N	\N	\N	2024-04-13 19:52:19.56476	\N
4	Майкл Догерти	\N	\N	\N	2024-04-13 19:52:19.585915	\N
5	Дэн Харрис	\N	\N	\N	2024-04-13 19:52:19.607006	\N
6	Лилли Вачовски	\N	\N	\N	2024-04-13 19:58:58.9003	\N
7	Лана Вачовски	\N	\N	\N	2024-04-13 19:58:58.921024	\N
8	Сьюзэн Эстель Джэнсен	\N	\N	\N	2024-04-13 20:14:31.856518	\N
9	Эд Дектер	\N	\N	\N	2024-04-13 20:14:31.880385	\N
10	Джон Дж. Штраусс	\N	\N	\N	2024-04-13 20:14:31.903534	\N
11	Терри Мински	\N	\N	\N	2024-04-13 20:14:31.92725	\N
12	Джефф Родкей	\N	\N	\N	2024-04-13 20:19:09.980144	\N
13	Луис Сачар	\N	\N	\N	2024-04-13 20:19:19.738236	\N
14	Этан Райфф	\N	\N	\N	2024-04-13 20:19:21.326524	\N
15	Сайрус Ворис	\N	\N	\N	2024-04-13 20:19:21.346424	\N
16	Дэвид Дорфман	\N	\N	\N	2024-04-13 20:19:31.484254	\N
17	Дж.Р.Р. Толкин	\N	\N	\N	2024-04-13 20:19:32.937164	\N
18	Фрэн Уолш	\N	\N	\N	2024-04-13 20:19:32.960672	\N
19	Филиппа Бойенс	\N	\N	\N	2024-04-13 20:19:32.981125	\N
20	Стивен Синклер	\N	\N	\N	2024-04-13 20:19:33.003332	\N
21	Питер Джексон	\N	\N	\N	2024-04-13 20:19:33.022848	\N
22	Даг Джанг	\N	\N	\N	2024-04-13 20:19:42.133239	\N
23	Гуриндер Чадха	\N	\N	\N	2024-04-13 20:19:43.357525	\N
24	Гюльджит Биндра	\N	\N	\N	2024-04-13 20:19:43.3803	\N
25	Пол Маеда Берджес	\N	\N	\N	2024-04-13 20:19:43.402045	\N
26	Ларри Коэн	\N	\N	\N	2024-04-13 20:19:53.360598	\N
27	Том Брэди	\N	\N	\N	2024-04-13 20:19:54.743762	\N
28	Роб Шнайдер	\N	\N	\N	2024-04-13 20:19:54.765817	\N
29	Роджер Таун	\N	\N	\N	2024-04-13 20:20:04.279548	\N
30	Курт Уиммер	\N	\N	\N	2024-04-13 20:20:04.303502	\N
31	Митч Глейзер	\N	\N	\N	2024-04-13 20:20:04.325513	\N
32	Факс Бар	\N	\N	\N	2024-04-13 20:20:15.929957	\N
33	Адам Смолл	\N	\N	\N	2024-04-13 20:20:15.951094	\N
34	Джейми Кеннеди	\N	\N	\N	2024-04-13 20:20:15.972837	\N
35	Ник Свардсон	\N	\N	\N	2024-04-13 20:20:15.992966	\N
36	Марк Лоуренс	\N	\N	\N	2024-04-13 20:20:17.97462	\N
37	Дэнни Байерс	\N	\N	\N	2024-04-13 20:20:27.790002	\N
38	Питер Фаррелли	\N	\N	\N	2024-04-13 20:20:27.809743	\N
39	Беннетт Йеллин	\N	\N	\N	2024-04-13 20:20:27.829895	\N
40	Бобби Фаррелли	\N	\N	\N	2024-04-13 20:20:27.850443	\N
41	Роберт Бренер	\N	\N	\N	2024-04-13 20:20:27.869777	\N
42	Трой Миллер	\N	\N	\N	2024-04-13 20:20:27.892719	\N
43	Трой Кеннеди-Мартин	\N	\N	\N	2024-04-13 20:20:29.618675	\N
44	Донна Пауэрс	\N	\N	\N	2024-04-13 20:20:29.639275	\N
45	Уэйн Пауэрс	\N	\N	\N	2024-04-13 20:20:29.662322	\N
46	Джеймс Кэмерон	\N	\N	\N	2024-04-13 20:20:42.30524	\N
47	Джон Бренкето	\N	\N	\N	2024-04-13 20:20:42.329207	\N
48	Гейл Энн Хёрд	\N	\N	\N	2024-04-13 20:20:42.351732	\N
49	Майкл Феррис	\N	\N	\N	2024-04-13 20:20:42.372587	\N
50	Теди Сарафьян	\N	\N	\N	2024-04-13 20:20:42.392839	\N
51	Дэвид Бениофф	\N	\N	\N	2024-04-13 21:17:59.378838	\N
52	Гай Берт	\N	\N	\N	2024-04-13 21:18:04.673432	\N
53	Бен Корт	\N	\N	\N	2024-04-13 21:18:04.695239	\N
54	Кэролайн Ип	\N	\N	\N	2024-04-13 21:18:04.7162	\N
55	Джин Родденберри	\N	\N	\N	2024-04-13 21:18:26.643874	\N
56	Джон Логан	\N	\N	\N	2024-04-13 21:18:26.665426	\N
57	Рик Берман	\N	\N	\N	2024-04-13 21:18:26.688829	\N
58	Брент Спайнер	\N	\N	\N	2024-04-13 21:18:26.710465	\N
59	Вуди Аллен	\N	\N	\N	2024-04-13 21:18:32.780537	\N
60	Дж.К. Роулинг	\N	\N	\N	2024-04-13 21:18:54.648625	\N
61	Стивен Кловз	\N	\N	\N	2024-04-13 21:18:54.670888	\N
62	Майкл Каннингем	\N	\N	\N	2024-04-13 21:19:00.135118	\N
63	Дэвид Хэа	\N	\N	\N	2024-04-13 21:19:00.159566	\N
64	Гэри Скотт Томпсон	\N	\N	\N	2024-04-13 21:19:20.02319	\N
65	Майкл Брандт	\N	\N	\N	2024-04-13 21:19:20.046561	\N
66	Дерек Хаас	\N	\N	\N	2024-04-13 21:19:20.070796	\N
67	Эдит Уортон	\N	\N	\N	2024-04-13 21:19:25.36344	\N
68	Теренс Дэвис	\N	\N	\N	2024-04-13 21:19:25.387175	\N
69	Фрэнк Эбегнейл мл.	\N	\N	\N	2024-04-13 21:19:44.447513	\N
70	Стэн Реддинг	\N	\N	\N	2024-04-13 21:19:44.469521	\N
71	Джефф Натансон	\N	\N	\N	2024-04-13 21:19:44.491863	\N
72	Мишель Александр	\N	\N	\N	2024-04-13 21:19:50.684766	\N
73	Дженни Лонг	\N	\N	\N	2024-04-13 21:19:50.706879	\N
74	Кристен Бакли	\N	\N	\N	2024-04-13 21:19:50.730889	\N
75	Брайан Риган	\N	\N	\N	2024-04-13 21:19:50.753696	\N
76	Бёрр Стирс	\N	\N	\N	2024-04-13 21:19:50.776747	\N
77	Марио Пьюзо	\N	\N	\N	2024-04-13 21:20:12.065918	\N
78	Фрэнсис Форд Коппола	\N	\N	\N	2024-04-13 21:20:12.088976	\N
79	Чарли Кауфман	\N	\N	\N	2024-04-13 21:20:17.842086	\N
80	Стивен Кинг	\N	\N	\N	2024-04-13 21:20:38.334601	\N
81	Фрэнк Дарабонт	\N	\N	\N	2024-04-13 21:20:38.358561	\N
82	Кристин Джонсон	\N	\N	\N	2024-04-13 21:20:43.657057	\N
83	Джесси Нельсон	\N	\N	\N	2024-04-13 21:20:43.678022	\N
84	Майкл Дж. Уилсон	\N	\N	\N	2024-04-13 21:21:09.366626	\N
85	Майкл Берг	\N	\N	\N	2024-04-13 21:21:09.39008	\N
86	Питер Экерман	\N	\N	\N	2024-04-13 21:21:09.413223	\N
87	Джеймс Бреснахэн	\N	\N	\N	2024-04-13 21:21:09.438151	\N
88	Даг Комптон	\N	\N	\N	2024-04-13 21:21:09.460244	\N
89	Джефф Сергей	\N	\N	\N	2024-04-13 21:21:09.482141	\N
90	Майк Тёрмайер	\N	\N	\N	2024-04-13 21:21:09.504244	\N
91	Гален Т. Чу	\N	\N	\N	2024-04-13 21:21:09.526032	\N
92	Ксет Файнберг	\N	\N	\N	2024-04-13 21:21:09.547084	\N
93	Майкл Куни	\N	\N	\N	2024-04-13 21:21:33.505999	\N
94	Томас Кенилли	\N	\N	\N	2024-04-13 21:21:56.772839	\N
95	Стивен Зеллиан	\N	\N	\N	2024-04-13 21:21:56.795449	\N
96	Оскар Уайльд	\N	\N	\N	2024-04-13 21:22:24.896625	\N
97	Оливер Паркер	\N	\N	\N	2024-04-13 21:22:24.919276	\N
98	Джордж Лукас	\N	\N	\N	2024-04-13 21:22:30.818262	\N
99	Андре Дюбюс	\N	\N	\N	2024-04-13 21:22:51.908848	\N
100	Роберт Фестингер	\N	\N	\N	2024-04-13 21:22:51.930153	\N
101	Тодд Филд	\N	\N	\N	2024-04-13 21:22:51.952382	\N
102	Кристофер Нолан	\N	\N	\N	2024-04-13 21:22:59.947206	\N
103	Джонатан Нолан	\N	\N	\N	2024-04-13 21:22:59.969771	\N
104	Хиллари Сайц	\N	\N	\N	2024-04-13 21:23:17.883784	\N
105	Николай Фробениус	\N	\N	\N	2024-04-13 21:23:17.905766	\N
106	Эрик Шёлдбьерг	\N	\N	\N	2024-04-13 21:23:17.92815	\N
107	Лоренс Хаубен	\N	\N	\N	2024-04-13 21:23:26.697869	\N
108	Бо Голдмэн	\N	\N	\N	2024-04-13 21:23:26.719921	\N
109	Кен Кизи	\N	\N	\N	2024-04-13 21:23:26.741893	\N
110	Дэйл Вассерман	\N	\N	\N	2024-04-13 21:23:26.761651	\N
